7p-	7s+	-3.23E+00	0
8p-	7s+	6.22E-02	0
9p-	7s+	8.62E-02	0
7p+	7s+	4.49E+00	0
8p+	7s+	3.74E-01	0
9p+	7s+	1.31E-01	0
7p-	8s+	2.50E+00	0
8p-	8s+	-6.96E+00	0
9p-	8s+	-1.71E-01	0
7p+	8s+	-4.62E+00	0
8p+	8s+	9.33E+00	0
9p+	8s+	1.04E+00	0
7p-	9s+	7.07E-01	0
8p-	9s+	5.02E+00	0
9p-	9s+	-1.15E+01	0
7p+	9s+	-1.04E+00	0
8p+	9s+	-9.01E+00	0
9p+	9s+	1.51E+01	0
7p-	6d-	3.50E+00	0
8p-	6d-	5.70E-02	0
9p-	6d-	2.54E-02	0
7p+	6d-	1.49E+00	0
8p+	6d-	1.45E-01	0
9p+	6d-	7.25E-02	0
7p-	7d-	-4.33E+00	0
8p-	7d-	9.52E+00	0
9p-	7d-	-4.28E-01	0
7p+	7d-	-2.40E+00	0
8p+	7d-	4.02E+00	0
9p+	7d-	1.39E-01	0
7p+	6d+	4.74E+00	0
8p+	6d+	3.93E-01	0
9p+	6d+	2.03E-01	0
7p+	7d+	-6.97E+00	0
8p+	7d+	1.25E+01	0
9p+	7d+	2.04E-01	0
