# These are just HF values, with 10% error as an example
7s+	6s+	-1.63E-05	1.63E-06
5d-	6s+	2.59E-07	2.59E-08
5d-	7s+	1.51E-06	1.51E-07
7p-	6p-	-5.88E-06	5.88E-07
6p+	6p-	-1.15E+00	1.15E-01
7p+	6p-	-2.86E-02	2.86E-03
6p+	7p-	3.01E-02	3.01E-03
7p+	7p-	-1.15E+00	1.15E-01
7p+	6p+	-1.72E-05	1.72E-06
5d+	5d-	-1.55E+00	1.55E-01
