7s+	6s+	7.2100E-05	1.2061E-05
8s+	6s+	3.8140E-05	1.1129E-05
5d-	6s+	1.6190E-04	3.2568E-05
6d-	6s+	2.2780E-05	1.1394E-05
8s+	7s+	4.3510E-06	4.1825E-06
5d-	7s+	7.9410E-05	1.7606E-05
6d-	7s+	7.3730E-06	4.8206E-06
5d-	8s+	5.2080E-05	1.2311E-05
6d-	8s+	7.1110E-06	3.2555E-06
7p-	6p-	-2.8210E-05	1.7600E-08
8p-	6p-	-1.8980E-05	9.8950E-07
6p+	6p-	-1.1523E+00	7.4370E-03
7p+	6p-	-4.5596E-02	2.0009E-03
8p+	6p-	-2.4014E-02	1.3156E-03
8p-	7p-	-1.3250E-05	9.9728E-07
6p+	7p-	3.6059E-02	1.9072E-03
7p+	7p-	-1.1522E+00	2.5620E-03
8p+	7p-	-4.2832E-02	8.8896E-04
6p+	8p-	1.6530E-02	1.2305E-03
7p+	8p-	4.0243E-02	8.6988E-04
8p+	8p-	-1.1522E+00	1.2258E-03
7p+	6p+	-7.5040E-05	1.4610E-07
8p+	6p+	-5.1810E-05	8.2600E-08
8p+	7p+	-3.9270E-05	2.0920E-08
6d-	5d-	-1.5650E-04	1.1639E-05
5d+	5d-	-1.5493E+00	2.7963E-02
6d+	5d-	-3.1251E-02	4.6672E-03
5d+	6d-	5.6570E-04	4.7105E-03
6d+	6d-	-1.5489E+00	5.2989E-03
6d+	5d+	-2.2890E-04	1.1553E-05
