7s+	6s+	0.0000721000	0
8s+	6s+	0.0000381400	0
5d-	6s+	0.0001619000	0
6d-	6s+	0.0000227800	0
8s+	7s+	0.0000043510	0
5d-	7s+	0.0000794100	0
6d-	7s+	0.0000073730	0
5d-	8s+	0.0000520800	0
6d-	8s+	0.0000071110	0
7p-	6p-	-0.0000282100	0
8p-	6p-	-0.0000189800	0
6p+	6p-	-1.1522990000	0
7p+	6p-	-0.0457344600	0
8p+	6p-	-0.0240820000	0
8p-	7p-	-0.0000132500	0
6p+	7p-	0.0362127000	0
7p+	7p-	-1.1521710000	0
8p+	7p-	-0.0429540000	0
6p+	8p-	0.0165996500	0
7p+	8p-	0.0403825600	0
8p+	8p-	-1.1521390000	0
7p+	6p+	-0.0000750400	0
8p+	6p+	-0.0000518100	0
8p+	7p+	-0.0000392700	0
6d-	5d-	-0.0001565000	0
5d+	5d-	-1.5492820000	0
6d+	5d-	-0.0311974100	0
5d+	6d-	0.0005197300	0
6d+	6d-	-1.5489260000	0
6d+	5d+	-0.0002289000	0
